,,,,radius,radius,silhouette,silhouette,ari,ari,tempo,tempo
,,,,mean,std,mean,std,mean,std,mean,std
dataset_name,algoritmo,metrica,eps,,,,,,,,
Dry Bean,intervalo,minkowski,0.15,42864.016729427,0.0,0.5846088716520795,0.0,0.2044868134977616,0.0,0.00113052666662644,0.0010600397132094954
Dry Bean,intervalo,minkowski,0.25,47967.622206111,0.0,0.6399364147029725,0.0,0.1320224759281544,0.0,0.0007446466666502666,0.0001456992394722399
Energy Efficiency,intervalo,euclidiana,0.01,69.54254021820026,0.0,0.6156848773968736,0.0,0.2787247444879916,0.0,0.0011173666666763333,4.0649752565158685e-05
Energy Efficiency,intervalo,euclidiana,0.05,69.54254021820026,0.0,0.6156848773968736,0.0,0.2787247444879916,0.0,0.00100489333332608,0.0002383110226621477
Energy Efficiency,intervalo,euclidiana,0.1,69.54254021820026,0.0,0.6156848773968736,0.0,0.2787247444879916,0.0,0.0008777666665991466,4.5512959896489436e-05
Energy Efficiency,intervalo,euclidiana,0.15,69.54254021820026,0.0,0.6156848773968736,0.0,0.2787247444879916,0.0,0.0007680733333775333,4.454472013677852e-05
Energy Efficiency,intervalo,euclidiana,0.25,107.65220898801846,0.0,0.615464025644528,0.0,0.3892106150834382,0.0,0.0006486333332152667,4.676886423078474e-05
Energy Efficiency,intervalo,mahalanobis,0.01,4.285468522950247,0.0,0.2347562630702172,0.0,0.1259715912551158,0.0,0.0011764133333599,7.633046456682713e-05
Energy Efficiency,intervalo,mahalanobis,0.05,4.285468522950247,0.0,0.2347562630702172,0.0,0.1259715912551158,0.0,0.0009622333333026734,6.897198880403689e-05
Energy Efficiency,intervalo,mahalanobis,0.1,4.816863965821996,0.0,0.1641411669988612,0.0,0.111529725402183,0.0,0.0008551999999932534,3.22485437384005e-05
Energy Efficiency,intervalo,mahalanobis,0.15,4.816863965821996,0.0,0.1641411669988612,0.0,0.111529725402183,0.0,0.00077840000000526,5.194850480382888e-05
Energy Efficiency,intervalo,mahalanobis,0.25,6.5963648669632695,0.0,-1.0,0.0,0.0,0.0,0.0006338199999845,0.00010054521521141982
Energy Efficiency,intervalo,minkowski,0.01,106.47,0.0,0.6156848773968736,0.0,0.2787247444879916,0.0,0.0011370266666744467,4.9803463226522384e-05
Energy Efficiency,intervalo,minkowski,0.05,106.44,0.0,0.6156848773968736,0.0,0.2787247444879916,0.0,0.00098962000010938,9.928302403136863e-05
Energy Efficiency,intervalo,minkowski,0.1,106.44,0.0,0.6156848773968736,0.0,0.2787247444879916,0.0,0.0008781399999861066,3.889254060895854e-05
Energy Efficiency,intervalo,minkowski,0.15,106.44,0.0,0.6156848773968736,0.0,0.2787247444879916,0.0,0.0007591599999916734,3.433745970533529e-05
Energy Efficiency,intervalo,minkowski,0.25,167.81,0.0,0.615464025644528,0.0,0.3892106150834382,0.0,0.0006489333333168266,2.6163433266988205e-05
HTRU2,intervalo,euclidiana,0.01,43.94034788537005,0.0,0.4100409675864178,0.0,0.0093051752550625,0.0,0.0018597200000536802,0.0010625344210695648
HTRU2,intervalo,euclidiana,0.05,42.69843503689425,0.0,0.4096122425832487,0.0,0.0095906259788923,0.0,0.0016677333333063335,0.0006851732238731446
HTRU2,intervalo,euclidiana,0.1,42.69843503689425,0.0,0.4096122425832487,0.0,0.0095906259788923,0.0,0.0011997066666784065,0.0001309910218045736
HTRU2,intervalo,euclidiana,0.15,42.69843503689425,0.0,0.4096122425832487,0.0,0.0095906259788923,0.0,0.0010758399999455,0.00010902865812888018
HTRU2,intervalo,euclidiana,0.25,77.43405464453514,0.0,0.579173615030167,0.0,0.0189453380712045,0.0,0.0012430200000380267,0.001025805611750285
HTRU2,intervalo,mahalanobis,0.01,16.00294617594987,0.0,-0.5043235085401624,0.0,-1.9838741694474917e-06,0.0,0.0014083599999139,0.00023060022551329616
HTRU2,intervalo,mahalanobis,0.05,16.00294617594987,0.0,-0.5043235085401624,0.0,-1.9838741694474917e-06,0.0,0.0015031933333678066,0.0010374821832558538
HTRU2,intervalo,mahalanobis,0.1,16.00294617594987,0.0,-0.5043235085401624,0.0,-1.9838741694474917e-06,0.0,0.00112474666672516,5.4030650901629067e-05
HTRU2,intervalo,mahalanobis,0.15,16.00294617594987,0.0,-0.5043235085401624,0.0,-1.9838741694474917e-06,0.0,0.0011495600000367868,0.00029466190751896253
HTRU2,intervalo,mahalanobis,0.25,16.00294617594987,0.0,-0.5043235085401624,0.0,-1.9838741694474917e-06,0.0,0.0010767933333529734,0.0005900400730204587
HTRU2,intervalo,minkowski,0.01,64.9140373,0.0,0.3762791960933002,0.0,0.0095610387834394,0.0,0.0021510666667078336,0.0014222952976820588
HTRU2,intervalo,minkowski,0.05,72.82932269999998,0.0,0.3639401553905603,0.0,0.0137675760603903,0.0,0.0014646999999967732,0.0005817014648878023
HTRU2,intervalo,minkowski,0.1,87.29888939999998,0.0,0.4656915194436998,0.0,0.0189784560302381,0.0,0.0017538533333511532,0.0010919033898353732
HTRU2,intervalo,minkowski,0.15,92.66371145,0.0,0.5707677352548005,0.0,0.0189224936413059,0.0,0.0011225399999905466,0.0002620856043556552
HTRU2,intervalo,minkowski,0.25,92.66371145,0.0,0.5707677352548005,0.0,0.0189224936413059,0.0,0.0009035266666614466,0.00017258396486009812
Power Plant,intervalo,euclidiana,0.01,26.62253368858792,0.0,0.20434976164723942,0.0,0.1815709402154743,0.0,0.0015180333334076535,0.00017028830869916141
Power Plant,intervalo,euclidiana,0.05,26.62253368858792,0.0,0.1990327922076852,0.0,0.15636552477867546,0.0,0.0012759999999919132,0.0001231121149749825
Power Plant,intervalo,euclidiana,0.1,33.51645267626035,0.0,0.2994045214111487,0.0,0.1545154793673986,0.0,0.0011519800000617465,0.00037323916150200647
Power Plant,intervalo,euclidiana,0.15,35.29912888443566,0.0,0.3598673627715852,0.0,0.037401635320187,0.0,0.0009576133333817934,3.306026672846451e-05
Power Plant,intervalo,euclidiana,0.25,35.29912888443566,0.0,0.3598673627715852,0.0,0.037401635320187,0.0,0.0008312399999643067,2.9887737595123356e-05
Power Plant,intervalo,mahalanobis,0.01,3.39083391694946,0.0,-0.0680443498089989,0.0,0.031284105928273,0.0,0.0016078666666543935,0.00013985423880676006
Power Plant,intervalo,mahalanobis,0.05,3.39083391694946,0.0,-0.0680443498089989,0.0,0.031284105928273,0.0,0.0013641799999883134,0.0001017228391419812
Power Plant,intervalo,mahalanobis,0.1,4.027719932556103,0.0,-0.1360016086929434,0.0,0.0111718408281564,0.0,0.0012005333333338802,0.00014761838668949948
Power Plant,intervalo,mahalanobis,0.15,4.027719932556103,0.0,-0.1360016086929434,0.0,0.0111718408281564,0.0,0.0013506333332770268,0.0005215741896148344
Power Plant,intervalo,mahalanobis,0.25,4.027719932556103,0.0,-0.1360016086929434,0.0,0.0111718408281564,0.0,0.0009700466666799466,0.00014596517622899607
Power Plant,intervalo,minkowski,0.01,41.60999999999997,0.0,0.2416024851329118,0.0,0.2344030393685202,0.0,0.0015187200000278801,6.970252295785582e-05
