,,,radius,radius,silhouette,silhouette,ari,ari,tempo,tempo
,,,mean,std,mean,std,mean,std,mean,std
dataset_tipo,metrica,algoritmo,,,,,,,,
circles,mahalanobis,gonzalez,2.7569743165288165,0.23338358748501825,0.30957764982616387,0.02377803001417931,,,5.475999997846086e-05,5.6769257963448947e-05
circles,mahalanobis,intervalo,2.9711612008923423,0.47628342307093846,0.30515206274972656,0.020293912846292096,,,0.0009274453866703672,0.0004987978186982464
circles,mahalanobis,kmeans,,,0.3089943970672312,0.014400920913495062,,,0.08197867329332739,0.008307577919737548
circles,minkowski,gonzalez,1.9120545777520799,0.17723757107644686,0.30328155254188055,0.02344946462311199,,,4.6008000008439684e-05,1.7189875714699158e-05
circles,minkowski,intervalo,2.0670894952530974,0.3275407912871263,0.2984445840312293,0.015088266173621344,,,0.0009793868746673486,0.0008564251825939407
circles,minkowski,kmeans,,,0.3089943970672312,0.014400920913495062,,,0.08253853587999702,0.007137849907365202
moons,euclidiana,gonzalez,1.8648156545038803,0.08765256435801994,0.42340862908653004,0.04349917979540967,,,0.0001043866533321588,0.00046783183156883786
moons,euclidiana,intervalo,1.5509107553260388,0.20382596364228459,0.44091045412266106,0.05820483498945785,,,0.0010191015786682434,0.0006409521210575563
moons,euclidiana,kmeans,,,0.4766943865990061,0.011009349052974278,,,0.07979588979999784,0.00649400917229698
moons,mahalanobis,gonzalez,2.938126519989787,0.12053650042436355,0.2967613676753977,0.04297206297288696,,,4.643066665569976e-05,2.0120971798354116e-05
moons,mahalanobis,intervalo,2.834894664442356,0.34237054985239607,0.33408312086674463,0.10237194231473074,,,0.001006972994662596,0.0009537415351169417
moons,mahalanobis,kmeans,,,0.4766943865990061,0.011009349052974278,,,0.08126540037333442,0.013043378004214557
moons,minkowski,gonzalez,2.040471626166311,0.25964106092696837,0.4354763231667996,0.06331713306722546,,,4.7086666642522945e-05,1.6610435771342363e-05
moons,minkowski,intervalo,2.0547582364587007,0.24917744450239412,0.44012362940023747,0.06346312888097758,,,0.0009945843706706077,0.0007096123035646739
moons,minkowski,kmeans,,,0.4766943865990061,0.011009349052974278,,,0.07947449507998494,0.005049273294277257
mvnorm,euclidiana,gonzalez,4.545744975970171,0.4995077836936931,0.532435274044768,0.126693423395978,,,7.087133332485054e-05,6.07358659619766e-05
mvnorm,euclidiana,intervalo,4.825566958223098,1.5268460923769758,0.6068971655547183,0.14518065685251,,,0.0012429911786629836,0.0012221978627244023
mvnorm,euclidiana,kmeans,,,0.5744639958391696,0.0871531920249548,,,0.08374037197334469,0.0108496192790468
mvnorm,mahalanobis,gonzalez,1.8257609674562283,0.5160727957883233,0.4830317314517931,0.187364629682172,,,7.237999999384704e-05,6.312603670028434e-05
mvnorm,mahalanobis,intervalo,1.9425880396561752,0.5603290221992855,0.4711724541312675,0.20244434952866852,,,0.0012090831826635125,0.0007639696063361194
mvnorm,mahalanobis,kmeans,,,0.5744639958391696,0.0871531920249548,,,0.08376146022666636,0.010646174865321961
mvnorm,minkowski,gonzalez,6.04438014534036,0.6548932603465671,0.511487748929444,0.11312674373811167,,,8.981199999652482e-05,0.0003381129414771
mvnorm,minkowski,intervalo,6.16732127392909,1.720407239899464,0.5974377653747377,0.14749437521423095,,,0.0012236370533294388,0.0010777395545510525
mvnorm,minkowski,kmeans,,,0.5744639958391696,0.0871531920249548,,,0.08306873995333712,0.007298760127691201
uniform,euclidiana,gonzalez,9.202324589159275,2.7714311586287015,0.32783153525145586,0.03131865928837915,,,5.2222666669573905e-05,1.536859358413157e-05
uniform,euclidiana,intervalo,7.34245643937814,0.6232476782250943,0.3366224755464962,0.02681185944852833,,,0.0010402973360062594,0.0007487667193920253
uniform,euclidiana,kmeans,,,0.3860011735801441,0.0034624015591399686,,,0.08903464850667657,0.022225674312397335
uniform,mahalanobis,gonzalez,2.5750584209019545,0.49449666880593246,0.32783917748383984,0.031186854655125364,,,0.0001417959999889685,0.0007947066003445093
uniform,mahalanobis,intervalo,2.10210296068033,0.07968115148491746,0.3368673198275285,0.028179215262857975,,,0.0010302461333345583,0.0004288616361055789
uniform,mahalanobis,kmeans,,,0.3860011735801441,0.0034624015591399686,,,0.08785320964001883,0.007317188420665177
uniform,minkowski,gonzalez,10.566090832630366,1.864425849018532,0.3215133151643888,0.031172651378545295,,,7.592133334886061e-05,0.0001936874043974054
uniform,minkowski,intervalo,9.586284877819912,0.915399305978317,0.32833880255991,0.03169899627136149,,,0.001114449877331889,0.0005716511815418387
uniform,minkowski,kmeans,,,0.3860011735801441,0.0034624015591399686,,,0.09263721380000783,0.019476094562348778
varied,euclidiana,gonzalez,4.544492920394152,1.6011136450503656,0.6922305057478622,0.11338075998097101,,,6.488799999108589e-05,2.6929141047346545e-05
varied,euclidiana,intervalo,4.9482717468495165,2.136394945131668,0.7384137508391927,0.09209711118901089,,,0.0011382487893315078,0.0007923666427208761
varied,euclidiana,kmeans,,,0.754540502362483,0.08743237023305629,,,0.07942038504000867,0.008012604825250971
varied,mahalanobis,gonzalez,1.7628612000859654,0.6391637313395646,0.5614291353735364,0.1239572404516762,,,0.00013098933333215187,0.000480726942376483
varied,mahalanobis,intervalo,1.7048442595311648,0.6484085753762369,0.5512596221426197,0.21727958393547253,,,0.0011865762586712176,0.0008764038345925823
varied,mahalanobis,kmeans,,,0.754540502362483,0.08743237023305629,,,0.08406370736001004,0.015501990547628958
varied,minkowski,gonzalez,5.378403067998928,1.5019572003172827,0.6908641458958028,0.11593778058136607,,,6.381333334501828e-05,2.7598106741469358e-05
varied,minkowski,intervalo,6.360879211380826,2.7404168644091205,0.7149269836493196,0.1052405043999406,,,0.0011424738533386926,0.000773196821636143
varied,minkowski,kmeans,,,0.754540502362483,0.08743237023305629,,,0.07973103895997757,0.01022066971149055
