dataset_idx,dataset_meta,algoritmo,eps,run,radius,silhouette,ari,tempo
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.1,3,2.484488766588765,0.7659686024380011,nan,0.0009986000000026252
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.15,3,5.00759761631185,0.8278455524506478,nan,0.0008092000000488042
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.25,3,4.879565870814877,0.8278455524506478,nan,0.0007302000001345732
0,"{""tipo"": ""blobs"", ""var"": 0}",kmeans,,3,nan,0.7659686024380011,nan,0.07888200000002143
0,"{""tipo"": ""blobs"", ""var"": 0}",gonzalez,,4,3.0558751979942227,0.7631248207580491,nan,5.589999977928528e-05
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.01,4,2.484488766588765,0.7659686024380011,nan,0.0011825000001408625
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.05,4,2.484488766588765,0.7659686024380011,nan,0.001099100000146791
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.1,4,2.484488766588765,0.7659686024380011,nan,0.0009817999998631421
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.15,4,5.00759761631185,0.8278455524506478,nan,0.0014023000001088803
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.25,4,4.879565870814877,0.8278455524506478,nan,0.0008190000000922737
0,"{""tipo"": ""blobs"", ""var"": 0}",kmeans,,4,nan,0.7659686024380011,nan,0.08493640000006053
1,"{""tipo"": ""blobs"", ""var"": 1}",gonzalez,,0,4.354772328304773,0.47409076693876906,nan,0.00019099999985883187
1,"{""tipo"": ""blobs"", ""var"": 1}",intervalo,0.01,0,3.8327593086350036,0.4549895337784675,nan,0.0015507999999044841
1,"{""tipo"": ""blobs"", ""var"": 1}",intervalo,0.05,0,4.256750702399417,0.5694888929459532,nan,0.0011463000000730972
1,"{""tipo"": ""blobs"", ""var"": 1}",intervalo,0.1,0,4.256750702399417,0.5694888929459532,nan,0.0009523000001081527
1,"{""tipo"": ""blobs"", ""var"": 1}",intervalo,0.15,0,4.256750702399417,0.5694888929459532,nan,0.0022269999999480206
1,"{""tipo"": ""blobs"", ""var"": 1}",intervalo,0.25,0,8.705153076131525,0.6687682753322028,nan,0.0007104999999683059
1,"{""tipo"": ""blobs"", ""var"": 1}",kmeans,,0,nan,0.5021924777315433,nan,0.09785660000011376
1,"{""tipo"": ""blobs"", ""var"": 1}",gonzalez,,1,4.354772328304773,0.47409076693876906,nan,6.320000011328375e-05
1,"{""tipo"": ""blobs"", ""var"": 1}",intervalo,0.01,1,3.8327593086350036,0.4549895337784675,nan,0.0011769999998705316
